timestamp,cycle,symbol,timeframe,session,decision,confidence,entry,sl,tp1,tp2,lot,rr_ratio,risk_usd,reason,close_time,close_price,result,pnl_usd,pnl_pips,lesson
2026-06-27T08:39:44+00:00,1,EURUSD,15m,Tokyo/London,NO TRADE,34.0,1.13835,1.13739,1.14027,,0.0,2.0,0.0,Day76 Sizer: Confidence 34% < 55% minimum → reject,,,,0.0,0.0,
2026-06-27T08:41:07+00:00,2,EURUSD,15m,Tokyo/London,NO TRADE,34.0,1.13835,1.13739,1.14027,,0.0,2.0,0.0,Day76 Sizer: Confidence 34% < 55% minimum → reject,,,,0.0,0.0,
2026-06-27T08:41:49+00:00,3,GBPUSD,15m,Tokyo/London,NO TRADE,34.0,1.31954,1.31851,1.3216,,0.0,2.0,0.0,Day76 Sizer: Confidence 34% < 55% minimum → reject,,,,0.0,0.0,
2026-06-27T08:42:30+00:00,4,USDJPY,15m,Tokyo/London,NO TRADE,34.0,161.757,161.82081,161.62938,,0.0,2.0,0.0,Day76 Sizer: Confidence 34% < 55% minimum → reject,,,,0.0,0.0,
2026-06-27T08:43:17+00:00,5,AUDUSD,15m,Tokyo/London,NO TRADE,0.0,0.68944,,,,0.0,0.0,0.0,Signal is NO TRADE — no trade,,,,0.0,0.0,
2026-06-27T08:44:25+00:00,6,USDCAD,15m,Tokyo/London,NO TRADE,28.0,1.41929,1.42028,1.41731,,0.0,2.0,0.0,Day76 Sizer: Confidence 28% < 55% minimum → reject,,,,0.0,0.0,
2026-06-27T08:45:09+00:00,7,XAUUSD,15m,Tokyo/London,NO TRADE,34.0,4071.69,4083.2643,4048.5414,,0.0,2.0,0.0,Day76 Sizer: Confidence 34% < 55% minimum → reject,,,,0.0,0.0,
2026-06-27T08:45:51+00:00,8,EURUSD,15m,Tokyo/London,NO TRADE,34.0,1.13835,1.13739,1.14027,,0.0,2.0,0.0,Day76 Sizer: Confidence 34% < 55% minimum → reject,,,,0.0,0.0,
2026-06-27T08:48:19+00:00,1,EURUSD,15m,Tokyo/London,NO TRADE,34.0,1.13835,1.13739,1.14027,,0.0,2.0,0.0,Day76 Sizer: Confidence 34% < 55% minimum → reject,,,,0.0,0.0,
2026-06-27T09:35:51+00:00,1,EURUSD,15m,London,NO TRADE,34.0,1.13835,1.13739,1.14027,,0.0,2.0,0.0,Day76 Sizer: Confidence 34% < 55% minimum → reject,,,,0.0,0.0,
